metric;Multiclass_capable;Imbalanced Suitable;FP and FN equally important;FP over FN;FN over FP;Only Positives;Ignore TN;Chance Correction;Minor Class Sensitivity;suitable
Precision;0;1;0;1;0;1;0;0;0;1
Macro-avg Precision;1;1;0;1;0;1;0;0;1;1
Micro-avg Precision;1;0;0;1;0;1;0;0;0;1
Recall;0;1;0;0;1;1;0;0;0;1
Macro-avg Recall;1;1;0;0;1;1;0;0;1;1
Micro-avg Recall;1;0;0;0;1;1;0;0;0;1
Accuracy;0;0;0;0;0;0;0;0;0;1
Macro-avg Accuracy;1;1;0;0;0;0;0;0;1;1
Micro-avg Accuracy;1;0;0;0;0;0;0;0;0;1
F1;0;1;0;0;0;0;1;0;0;1
Macro-avg F1;1;1;0;0;0;0;1;0;1;1
Micro-avg F1;1;0;0;0;0;0;1;0;0;1
CE;1;0;0;0;0;0;0;0;0;1
CE;0;0;0;0;0;0;0;0;0;1
MCC;1;1;0;0;0;0;0;0;0;1
MCC;0;1;0;0;0;0;0;0;0;1
Cohen's Kappa;1;0;0;0;0;0;0;1;0;1
Cohen's Kappa;0;0;0;0;0;0;0;1;0;1
AUROC;1;0;1;0;0;0;0;0;0;1
AUROC;0;0;1;0;0;0;0;0;0;1
Brier Score;1;0;0;0;0;0;0;0;0;1
Brier Score;0;0;0;0;0;0;0;0;0;1
