metric;Multiclass_capable;Suitable_for_imbalanced_datasets;FP_and_FN_must_be_equally_important;FP_more_important_than_FN;FN_more_important_than_FP;Considers_only_positives;Does_not_consider_TN;Expected_agreement_subtracted;Sensitive_to_small_classes;suitable
accuracy;0;0;0;0;0;0;0;0;0;1
auroc;1;0;1;0;0;0;0;0;0;1
auroc;0;0;1;0;0;0;0;0;0;1
brierscore;1;0;0;0;0;0;0;0;0;1
brierscore;0;0;0;0;0;0;0;0;0;1
cohenskappa;1;0;0;0;0;0;0;1;0;1
cohenskappa;0;0;0;0;0;0;0;1;0;1
crossentropy;1;0;0;0;0;0;0;0;0;1
crossentropy;0;0;0;0;0;0;0;0;0;1
f1score;0;1;0;0;0;0;1;0;0;1
macroaccuracy;1;1;0;0;0;0;0;0;1;1
macrof1;1;1;0;0;0;0;1;0;1;1
macroprecision;1;1;0;1;0;1;0;0;1;1
macrorecall;1;1;0;0;1;1;0;0;1;1
mcc;1;1;0;0;0;0;0;0;0;1
mcc;0;1;0;0;0;0;0;0;0;1
micoaccuracy;1;0;0;0;0;0;0;0;0;1
micorecall;1;0;0;0;1;1;0;0;0;1
microf1;1;0;0;0;0;0;1;0;0;1
microprecision;1;0;0;1;0;1;0;0;0;1
precision;0;1;0;1;0;1;0;0;0;1
recall;0;1;0;0;1;1;0;0;0;1
accuracy;1;0;0;0;0;0;0;0;0;0
accuracy;0;1;0;0;0;0;0;0;0;0
accuracy;0;0;1;0;0;0;0;0;0;0
accuracy;0;0;0;1;0;0;0;0;0;0
accuracy;0;0;0;0;1;0;0;0;0;0
accuracy;0;0;0;0;0;1;0;0;0;0
accuracy;0;0;0;0;0;0;1;0;0;0
accuracy;0;0;0;0;0;0;0;1;0;0
accuracy;0;0;0;0;0;0;0;0;1;0
auroc;1;1;1;0;0;0;0;0;0;0
auroc;1;0;0;0;0;0;0;0;0;0
auroc;1;0;1;1;0;0;0;0;0;0
auroc;1;0;1;0;1;0;0;0;0;0
auroc;1;0;1;0;0;1;0;0;0;0
auroc;1;0;1;0;0;0;1;0;0;0
auroc;1;0;1;0;0;0;0;1;0;0
auroc;1;0;1;0;0;0;0;0;1;0
auroc;0;1;1;0;0;0;0;0;0;0
auroc;0;0;0;0;0;0;0;0;0;0
auroc;0;0;1;1;0;0;0;0;0;0
auroc;0;0;1;0;1;0;0;0;0;0
auroc;0;0;1;0;0;1;0;0;0;0
auroc;0;0;1;0;0;0;1;0;0;0
auroc;0;0;1;0;0;0;0;1;0;0
auroc;0;0;1;0;0;0;0;0;1;0
brierscore;1;1;0;0;0;0;0;0;0;0
brierscore;1;0;1;0;0;0;0;0;0;0
brierscore;1;0;0;1;0;0;0;0;0;0
brierscore;1;0;0;0;1;0;0;0;0;0
brierscore;1;0;0;0;0;1;0;0;0;0
brierscore;1;0;0;0;0;0;1;0;0;0
brierscore;1;0;0;0;0;0;0;1;0;0
brierscore;1;0;0;0;0;0;0;0;1;0
brierscore;0;1;0;0;0;0;0;0;0;0
brierscore;0;0;1;0;0;0;0;0;0;0
brierscore;0;0;0;1;0;0;0;0;0;0
brierscore;0;0;0;0;1;0;0;0;0;0
brierscore;0;0;0;0;0;1;0;0;0;0
brierscore;0;0;0;0;0;0;1;0;0;0
brierscore;0;0;0;0;0;0;0;1;0;0
brierscore;0;0;0;0;0;0;0;0;1;0
cohenskappa;1;1;0;0;0;0;0;1;0;0
cohenskappa;1;0;1;0;0;0;0;1;0;0
cohenskappa;1;0;0;1;0;0;0;1;0;0
cohenskappa;1;0;0;0;1;0;0;1;0;0
cohenskappa;1;0;0;0;0;1;0;1;0;0
cohenskappa;1;0;0;0;0;0;1;1;0;0
cohenskappa;1;0;0;0;0;0;0;0;0;0
cohenskappa;1;0;0;0;0;0;0;1;1;0
cohenskappa;0;1;0;0;0;0;0;1;0;0
cohenskappa;0;0;1;0;0;0;0;1;0;0
cohenskappa;0;0;0;1;0;0;0;1;0;0
cohenskappa;0;0;0;0;1;0;0;1;0;0
cohenskappa;0;0;0;0;0;1;0;1;0;0
cohenskappa;0;0;0;0;0;0;1;1;0;0
cohenskappa;0;0;0;0;0;0;0;0;0;0
cohenskappa;0;0;0;0;0;0;0;1;1;0
crossentropy;1;1;0;0;0;0;0;0;0;0
crossentropy;1;0;1;0;0;0;0;0;0;0
crossentropy;1;0;0;1;0;0;0;0;0;0
crossentropy;1;0;0;0;1;0;0;0;0;0
crossentropy;1;0;0;0;0;1;0;0;0;0
crossentropy;1;0;0;0;0;0;1;0;0;0
crossentropy;1;0;0;0;0;0;0;1;0;0
crossentropy;1;0;0;0;0;0;0;0;1;0
crossentropy;0;1;0;0;0;0;0;0;0;0
crossentropy;0;0;1;0;0;0;0;0;0;0
crossentropy;0;0;0;1;0;0;0;0;0;0
crossentropy;0;0;0;0;1;0;0;0;0;0
crossentropy;0;0;0;0;0;1;0;0;0;0
crossentropy;0;0;0;0;0;0;1;0;0;0
crossentropy;0;0;0;0;0;0;0;1;0;0
crossentropy;0;0;0;0;0;0;0;0;1;0
f1score;1;1;0;0;0;0;1;0;0;0
f1score;0;0;0;0;0;0;1;0;0;0
f1score;0;1;1;0;0;0;1;0;0;0
f1score;0;1;0;1;0;0;1;0;0;0
f1score;0;1;0;0;1;0;1;0;0;0
f1score;0;1;0;0;0;1;1;0;0;0
f1score;0;1;0;0;0;0;0;0;0;0
f1score;0;1;0;0;0;0;1;1;0;0
f1score;0;1;0;0;0;0;1;0;1;0
macroaccuracy;0;1;0;0;0;0;0;0;1;0
macroaccuracy;1;0;0;0;0;0;0;0;1;0
macroaccuracy;1;1;1;0;0;0;0;0;1;0
macroaccuracy;1;1;0;1;0;0;0;0;1;0
macroaccuracy;1;1;0;0;1;0;0;0;1;0
macroaccuracy;1;1;0;0;0;1;0;0;1;0
macroaccuracy;1;1;0;0;0;0;1;0;1;0
macroaccuracy;1;1;0;0;0;0;0;1;1;0
macroaccuracy;1;1;0;0;0;0;0;0;0;0
macrof1;0;1;0;0;0;0;1;0;1;0
macrof1;1;0;0;0;0;0;1;0;1;0
macrof1;1;1;1;0;0;0;1;0;1;0
macrof1;1;1;0;1;0;0;1;0;1;0
macrof1;1;1;0;0;1;0;1;0;1;0
macrof1;1;1;0;0;0;1;1;0;1;0
macrof1;1;1;0;0;0;0;0;0;1;0
macrof1;1;1;0;0;0;0;1;1;1;0
macrof1;1;1;0;0;0;0;1;0;0;0
